m,penalty,score,correct,wrong,inconclusive
4,0.3333333333333333,0.4659637336285413,0.5111108198004355,0.13544125851568256,0.35344792168388195
4,1.0,0.3861245819871377,0.4903804409465001,0.10425585895936235,0.4053637000941376
4,5.0,0.21054514034916605,0.27940874655654546,0.013772721241475883,0.7068185322019787
4,40.0,0.1545443712996402,0.1615734743463442,0.00017572757616760026,0.8382507980774883
4,2000.0,0.14782405675193486,0.14795774367735356,6.684346270935393e-08,0.8520421894791838
8,0.14285714285714285,0.601885447260073,0.6146217419659726,0.08915406294129768,0.2962241950927297
8,1.0,0.550693781446544,0.5913758530323572,0.04068207158581316,0.36794207538182966
8,5.0,0.4836927973245181,0.5179666260490334,0.0068547657449030686,0.4751786082060635
8,40.0,0.4456637169940091,0.45246104275737264,0.000169933144084089,0.5473690240985433
8,2000.0,0.43878208820174364,0.43892709305675587,7.250242750611591e-08,0.5610728344408167
