m,penalty,score,correct,wrong,inconclusive
4,0.3333333333333333,0.4659637336285412,0.5111108198004355,0.13544125851568278,0.3534479216838817
4,1.0,0.3861245819871375,0.4903804409465001,0.10425585895936257,0.40536370009413736
4,5.0,0.21054514034916622,0.27940874655654535,0.013772721241475827,0.7068185322019789
4,40.0,0.15454437129964468,0.16157347434634425,0.00017572757616748924,0.8382507980774883
4,2000.0,0.14782405675210183,0.147957743677354,6.68434626260872e-08,0.8520421894791834
8,0.14285714285714285,0.601885447260073,0.6146217419659726,0.0891540629412978,0.29622419509272957
8,1.0,0.5506937814465441,0.5913758530323572,0.04068207158581305,0.36794207538182977
8,5.0,0.4836927973245173,0.5179666260490332,0.00685476574490318,0.4751786082060636
8,40.0,0.4456637169940114,0.45246104275737276,0.00016993314408403348,0.5473690240985432
8,2000.0,0.43878208820174375,0.438927093056756,7.250242750611591e-08,0.5610728344408165
