hidden_label,input_port,output_port,target_real,target_imag,target_intensity,record_status
2,1,6,-0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,1,7,0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,2,0,-0.16018862050852034,0.0,0.025660394140422742,TARGET_NOT_A_MEASUREMENT
2,2,1,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,2,2,-6.6469650349250835e-18,0.0,4.418214417551662e-35,TARGET_NOT_A_MEASUREMENT
2,2,3,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,2,4,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,2,5,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,2,6,0.5469181606780271,0.0,0.29911947447943626,TARGET_NOT_A_MEASUREMENT
2,2,7,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,3,0,-0.16018862050852034,0.0,0.025660394140422742,TARGET_NOT_A_MEASUREMENT
2,3,1,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,3,2,-6.6469650349250835e-18,0.0,4.418214417551662e-35,TARGET_NOT_A_MEASUREMENT
2,3,3,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,3,4,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,3,5,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,3,6,0.5469181606780271,0.0,0.29911947447943626,TARGET_NOT_A_MEASUREMENT
2,3,7,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,4,0,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,4,1,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,4,2,2.110861058070383e-17,0.0,4.4557344064780165e-34,TARGET_NOT_A_MEASUREMENT
2,4,3,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,4,4,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,4,5,-0.16018862050852029,0.0,0.025660394140422725,TARGET_NOT_A_MEASUREMENT
2,4,6,-0.16018862050852034,0.0,0.025660394140422742,TARGET_NOT_A_MEASUREMENT
2,4,7,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,5,0,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,5,1,-0.16018862050852029,0.0,0.025660394140422725,TARGET_NOT_A_MEASUREMENT
2,5,2,-6.6469650349250835e-18,0.0,4.418214417551662e-35,TARGET_NOT_A_MEASUREMENT
2,5,3,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,5,4,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,5,5,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,5,6,-0.16018862050852034,0.0,0.025660394140422742,TARGET_NOT_A_MEASUREMENT
2,5,7,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
2,6,0,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
2,6,1,-0.16018862050852029,0.0,0.025660394140422725,TARGET_NOT_A_MEASUREMENT
